[admin.py:29] - 2023-08-15 10:17:36,099 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-15 10:17:36,099 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-15 10:17:36,324 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-15 10:17:36,324 - INFO - Running command 'C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2023-08-15 10:17:40,328 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,967 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,968 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,968 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,968 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,968 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,969 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,969 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,969 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,969 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,970 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,970 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,970 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,970 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,970 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,971 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,971 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,971 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,971 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,971 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,971 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-15 10:17:41,971 - DEBUG - STREAM b'sRGB' 41 1
